epoch,train_loss,sec,Acc,Macro-F1,composite,MAE,Corr,P_neg,R_neg,F1_neg,P_neu,R_neu,F1_neu,P_pos,R_pos,F1_pos,miss03_Macro-F1,miss03_MAE,miss05_Macro-F1,miss05_MAE,bert_mode
1,3.474773751364814,24.309205293655396,0.4697802197802198,0.2994596932410169,0.3846199565106183,0.7054578065872192,0.4778444762118184,0.3402061855670068,0.1601941747572808,0.21782178217778114,0.235294117647045,0.02173913043478249,0.039800995024720384,0.49674267100977115,0.9023668639053227,0.640756302520549,0.25924059139760747,0.7316562533378601,0.2369580338509452,0.7495532035827637,freeze
2,2.7637722492218018,23.823439359664917,0.48626373626373626,0.26617543189081977,0.376219584077278,0.6924347281455994,0.5427564181505286,0.666666666666639,0.07766990291262098,0.13913043478242057,0.33333333333322224,0.0054347826086956225,0.010695187165743716,0.48074179743223894,0.9970414201183402,0.648700673724295,0.2183582620279595,0.7150353789329529,0.21138211382099345,0.7384235262870789,freeze
3,2.4341692438832037,25.70311427116394,0.5961538461538461,0.48179083575492593,0.5389723409543861,0.7271750569343567,0.6234884200104973,0.563909774436088,0.7281553398058217,0.6355932203384883,0.4399999999999824,0.05978260869565185,0.10526315789452523,0.6247139588100672,0.8076923076923053,0.7045161290317643,0.43737490029614934,0.7334293723106384,0.3788914631518498,0.7411044836044312,last2
4,2.202025667384819,26.170105934143066,0.6002747252747253,0.5612906426753839,0.5807826839750545,0.6527798771858215,0.6374752658487697,0.6177777777777751,0.6747572815533948,0.6450116009275723,0.3725490196078407,0.3097826086956505,0.3382789317502441,0.6885714285714266,0.7130177514792878,0.7005813953483353,0.5270058037878144,0.7090610265731812,0.48843268738689954,0.7377923130989075,last2
5,1.99705101163299,26.40128803253174,0.6208791208791209,0.5953127146174891,0.608095917748305,0.6023520827293396,0.6521460322597032,0.6864864864864828,0.6165048543689291,0.6496163682859432,0.4060913705583736,0.43478260869564983,0.4199475065611782,0.7080924855491308,0.724852071005915,0.7163742690053458,0.5496610669019463,0.6393540501594543,0.5183559333449584,0.6790637373924255,last2
6,1.914200175691534,26.665595769882202,0.6304945054945055,0.5966555377102224,0.6135750216023639,0.5937914252281189,0.6586531172702569,0.6313559322033871,0.7233009708737829,0.6742081447958793,0.4437086092715203,0.3641304347826067,0.3999999999995025,0.7126099706744846,0.7189349112426013,0.7157584683352857,0.5255789403546133,0.6430633664131165,0.5178944367362066,0.6720243096351624,last2
7,1.818619829637033,26.42134189605713,0.635989010989011,0.6103039973900463,0.6231465041895285,0.5906478762626648,0.658440688806747,0.6412556053811631,0.6941747572815501,0.6666666666661643,0.4571428571428545,0.43478260869564983,0.4456824512529798,0.7272727272727251,0.710059171597631,0.7185628742509949,0.5397692866315301,0.6464309692382812,0.5426720645028956,0.6780100464820862,last2
8,1.7682281997468736,26.49211072921753,0.6332417582417582,0.615191786532748,0.6242167723872531,0.5815316438674927,0.6663016425773846,0.6666666666666634,0.6601941747572784,0.6634146341458382,0.4466019417475707,0.4999999999999973,0.47179487179437096,0.7327044025157209,0.6893491124260334,0.7103658536580348,0.5505030960543483,0.6329065561294556,0.5295913771420357,0.669628381729126,last2
9,1.7087035995942574,26.55872106552124,0.6195054945054945,0.5947918062920093,0.607148650398752,0.6396724581718445,0.6641854532234802,0.7006369426751548,0.5339805825242693,0.6060606060601118,0.42009132420091133,0.4999999999999973,0.45657568238163554,0.7073863636363615,0.7366863905325421,0.7217391304342806,0.5500815956807058,0.6769983768463135,0.5294234320815154,0.7107024192810059,last2
10,1.6963567424703527,26.665363073349,0.6318681318681318,0.6132667873622882,0.62256745961521,0.5854719281196594,0.6624789278820139,0.6371681415929176,0.6990291262135888,0.6666666666661647,0.4494949494949472,0.4836956521739104,0.46596858638693284,0.7467105263157869,0.6715976331360927,0.707165109033767,0.5553024853023766,0.6503958106040955,0.5368778663284064,0.6959680318832397,last2
