epoch,train_loss,sec,Acc,Macro-F1,composite,MAE,Corr,P_neg,R_neg,F1_neg,P_neu,R_neu,F1_neu,P_pos,R_pos,F1_pos,miss03_Macro-F1,miss03_MAE,miss05_Macro-F1,miss05_MAE,bert_mode
11,1.692402437881187,26.53376317024231,0.6277472527472527,0.6150436198230397,0.6213954362851462,0.6597886681556702,0.6604715612176565,0.6733668341708509,0.6504854368932007,0.6617283950612252,0.43859649122806826,0.5434782608695623,0.4854368932033869,0.7408637873754128,0.6597633136094655,0.6979655712045073,0.5592033732044981,0.7373340129852295,0.5586768180350226,0.7837935090065002,last2
12,1.654045683366281,24.25162672996521,0.603021978021978,0.6009714008546886,0.6019966894383333,0.5779687166213989,0.6670755271695041,0.6634146341463383,0.6601941747572784,0.6618004866175016,0.4035714285714271,0.6141304347826054,0.48706896551676065,0.7818930041152231,0.5621301775147912,0.6540447504298036,0.5423528568683637,0.640100359916687,0.5313875353439701,0.6777154207229614,last2
13,1.666921008516241,25.85578751564026,0.6346153846153846,0.6153549788564467,0.6249851817359157,0.6471790075302124,0.6614112085568271,0.6666666666666633,0.6310679611650455,0.6483790523685744,0.4541062801932345,0.5108695652173886,0.48081841432175,0.7300613496932492,0.7041420118343173,0.7168674698790158,0.5469790383830858,0.6823660135269165,0.5434992638176857,0.7092493176460266,last2
14,1.5836277383345145,26.46560549736023,0.6291208791208791,0.6062313823783878,0.6176761307496335,0.6441546678543091,0.6525224895760109,0.668449197860959,0.6067961165048514,0.6361323155211264,0.4494949494949472,0.4836956521739104,0.46596858638693284,0.7113702623906685,0.7218934911242582,0.7165932452271043,0.5526065369372493,0.6837770938873291,0.544760358660385,0.7152740359306335,last2
15,1.555795689423879,26.291548490524292,0.6181318681318682,0.6022254507700923,0.6101786594509802,0.6183707118034363,0.6580330379741272,0.6249999999999973,0.7038834951456276,0.6621004566205033,0.4384236453201949,0.4836956521739104,0.4599483204129356,0.7372013651877107,0.6390532544378679,0.6846275752768378,0.53135256131592,0.6712512969970703,0.5369259363819611,0.7024280428886414,last2
16,1.5483584470219083,26.37911581993103,0.625,0.5965009596567782,0.6107504798283891,0.6376582384109497,0.6480537214592518,0.6649746192893368,0.6359223300970843,0.6501240694784052,0.4523809523809497,0.41304347826086735,0.43181818181768045,0.6831955922864994,0.7337278106508853,0.7075606276742489,0.5517843767373201,0.6775094270706177,0.5360910563758328,0.7091159224510193,last2
17,1.4908836638485943,26.563634395599365,0.614010989010989,0.5822211504517264,0.5981160697313577,0.6409720778465271,0.6282982572686209,0.6723163841807872,0.5776699029126185,0.6214099216705179,0.4431137724550872,0.4021739130434761,0.42165242165192046,0.6614583333333316,0.7514792899408261,0.703601108032741,0.5514637987590192,0.6724255681037903,0.5199057115718779,0.7148810625076294,last2
18,1.511189838250478,26.417011499404907,0.6057692307692307,0.5912123524804592,0.598490791624845,0.6362183690071106,0.6350403893011375,0.71710526315789,0.5291262135922304,0.6089385474855413,0.4186991869918682,0.5597826086956491,0.4790697674413686,0.6939393939393917,0.6775147928994062,0.6856287425144679,0.5402283508877015,0.6753280758857727,0.5126328939402813,0.7225498557090759,last2
19,1.4537564869280215,26.620291233062744,0.6387362637362637,0.6059695688251677,0.6223529162807158,0.6899474263191223,0.6483581746202204,0.6507177033492793,0.6601941747572784,0.6554216867464848,0.5255474452554706,0.39130434782608486,0.44859813084062944,0.6727748691099459,0.7603550295857965,0.7138888888883888,0.5391453855121449,0.7292154431343079,0.5345100995265494,0.7857824563980103,last2
20,1.456847486672578,26.389324426651,0.6016483516483516,0.5970530851477872,0.5993507183980694,0.631786048412323,0.65459453461039,0.6858638743455462,0.6359223300970843,0.6599496221657443,0.39849624060150224,0.576086956521736,0.47111111111062565,0.7416974169741669,0.5946745562130159,0.6600985221669914,0.545431271237224,0.699435293674469,0.539299289209858,0.7575713992118835,last2
21,1.446536194395136,26.490094900131226,0.6181318681318682,0.5980306501590419,0.608081259145455,0.6383718848228455,0.6531907807995393,0.6497695852534533,0.6844660194174724,0.6666666666661638,0.4315789473684188,0.44565217391304107,0.4385026737962892,0.7071651090342657,0.6715976331360927,0.6889226100146727,0.5292677731448423,0.6851725578308105,0.5235461043489281,0.7239071130752563,last2
