epoch,train_loss,sec,Acc,Macro-F1,composite,MAE,Corr,P_neg,R_neg,F1_neg,P_neu,R_neu,F1_neu,P_pos,R_pos,F1_pos,miss03_Macro-F1,miss03_MAE,miss05_Macro-F1,miss05_MAE,bert_mode
1,3.474773751364814,22.789364099502563,0.4697802197802198,0.2994596932410169,0.3846199565106183,0.7054578065872192,0.4778444762118184,0.3402061855670068,0.1601941747572808,0.21782178217778114,0.235294117647045,0.02173913043478249,0.039800995024720384,0.49674267100977115,0.9023668639053227,0.640756302520549,0.25924059139760747,0.7316562533378601,0.2369580338509452,0.7495532035827637,freeze
2,2.7637722492218018,21.31341242790222,0.48626373626373626,0.26617543189081977,0.376219584077278,0.6924347281455994,0.5427564181505286,0.666666666666639,0.07766990291262098,0.13913043478242057,0.33333333333322224,0.0054347826086956225,0.010695187165743716,0.48074179743223894,0.9970414201183402,0.648700673724295,0.2183582620279595,0.7150353789329529,0.21138211382099345,0.7384235262870789,freeze
3,2.4906303308628224,23.789563179016113,0.5618131868131868,0.4746237217820344,0.5182184542976106,0.7669894099235535,0.5734208982451876,0.5313807531380731,0.6165048543689291,0.5707865168534328,0.3387096774193494,0.11413043478260808,0.17073170731669476,0.6112412177985934,0.7721893491124237,0.6823529411759756,0.3997854815531161,0.7533903121948242,0.33116666904471864,0.7464717626571655,freeze
4,2.3525149336567632,23.752500295639038,0.5755494505494505,0.463354167803476,0.5194518091764633,0.6541556715965271,0.5904892319676401,0.5774647887323917,0.5970873786407738,0.5871121718372062,0.3749999999999883,0.06521739130434748,0.1111111111108577,0.5879917184264998,0.84023668639053,0.691839220462364,0.4216576683005992,0.6951701641082764,0.34408434646137076,0.7355053424835205,freeze
5,2.191312220361498,23.942838191986084,0.5563186813186813,0.5174737670464657,0.5368962241825735,0.6456601619720459,0.5981191471156717,0.6010638297872308,0.5485436893203857,0.5736040609132036,0.29834254143646244,0.29347826086956363,0.29589041095840257,0.6629526462395524,0.7041420118343173,0.682926829267791,0.5345047313900584,0.6691400408744812,0.4793812105296233,0.6942605376243591,freeze
6,2.090965341638636,26.311547994613647,0.5975274725274725,0.5227379699643887,0.5601327212459306,0.6252546310424805,0.6221471228578537,0.6116071428571401,0.6650485436893172,0.6372093023250792,0.35714285714285293,0.16304347826086868,0.22388059701449334,0.6380952380952365,0.7928994082840213,0.7071240105535935,0.5257596771082871,0.6537618041038513,0.4528045605801731,0.6909471154212952,last2
7,1.9355499280823603,26.598702430725098,0.6112637362637363,0.5727872555735246,0.5920254959186304,0.62320876121521,0.632428301343373,0.6072874493927101,0.7281553398058217,0.6622516556286402,0.4142857142857113,0.3152173913043461,0.35802469135753173,0.6950146627565962,0.7011834319526606,0.6980854197344021,0.5225484118406972,0.6563394665718079,0.49560113476315876,0.692435622215271,last2
8,1.8628717594676547,25.19094157218933,0.6291208791208791,0.6071607318411477,0.6181408054810134,0.5958095192909241,0.6522583000359482,0.6484018264840153,0.6893203883495113,0.6682352941171443,0.43915343915343685,0.4510869565217367,0.44504021447670955,0.7281249999999977,0.6893491124260334,0.7082066869295892,0.5439202200197056,0.637312650680542,0.5311520479518697,0.672252357006073,last2
9,1.8012760127032246,20.298930883407593,0.614010989010989,0.5804255624703286,0.5972182757406588,0.651043713092804,0.6577423758123428,0.6787878787878747,0.5436893203883469,0.6037735849051632,0.4052631578947347,0.41847826086956297,0.4117647058818508,0.6916890080428936,0.7633136094674533,0.7257383966239717,0.5417969690364944,0.7018952965736389,0.5224990571710011,0.7596744894981384,last2
10,1.7809485815189503,20.575506687164307,0.6387362637362637,0.5983439708705273,0.6185401173033955,0.5893356204032898,0.6628750018229147,0.627705627705625,0.7038834951456276,0.6636155606402309,0.49999999999999606,0.3423913043478242,0.4064516129027407,0.6927223719676531,0.7603550295857965,0.7249647390686104,0.5413730274687276,0.6495983600616455,0.5168523149327445,0.6897644400596619,last2
